id,scam_type,message,description,language,target_info_requested,medium
4096,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹4509 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 2712620988.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
4097,Phishing Scam (Link Sharing),Your Axis account is at risk. Click here to verify your info: http://ramaswamy.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
4098,Fake Loan Approval Scam,You are pre-approved for a ₹69109 loan. Pay ₹857 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
4099,Phishing Scam (Link Sharing),Your HDFC account is at risk. Click here to verify your info: http://chandran.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
4100,Tax Refund Scam,Your tax refund of ₹69954 is ready. Click here to verify your info: http://krishnamurthy-mander.info,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
4101,Cryptocurrency Investment Scam,Invest ₹56072 in our crypto plan and get ₹57491 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4102,Cryptocurrency Investment Scam,Invest ₹2573 in our crypto plan and get ₹75065 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4103,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹30554 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 05864359441.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
4104,Fake Technical Support Scam,This is Shlok from Bhargava-Amble Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
4105,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹6262 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to +917577241116.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
4106,Fake Job Offer Scam,"Hi, this is Hunar from HR at Bhardwaj-Bhalla. You've been shortlisted for a remote role. Pay ₹797 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
4107,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹49590 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 01588125235.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
4108,Tax Refund Scam,Your tax refund of ₹4502 is ready. Click here to verify your info: http://manda-dada.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
4109,Fake Technical Support Scam,This is Tanya from Master-Vora Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
4110,Fake Loan Approval Scam,You are pre-approved for a ₹64704 loan. Pay ₹864 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
4111,Cryptocurrency Investment Scam,Invest ₹62769 in our crypto plan and get ₹48323 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4112,Cryptocurrency Investment Scam,Invest ₹6955 in our crypto plan and get ₹78847 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4113,UPI Scam,"Your Axis account is blocked. To unblock, pay ₹49892 to UPI ID: aarnajayaraman@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
4114,Fake Discount/Refund Scam,"You are eligible for a ₹31371 refund from Krish, Venkataraman and Kohli. Please share your bank details to process it.",Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
4115,Fake Job Offer Scam,"Hi, this is Suhana from HR at Ramachandran-Varma. You've been shortlisted for a remote role. Pay ₹968 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
4116,WhatsApp Account Hacking Scam,"Hey, this is Kaira. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
4117,Fake Job Offer Scam,"Hi, this is Vanya from HR at De, Bains and Rama. You've been shortlisted for a remote role. Pay ₹440 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
4118,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹82290 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to +910600215845.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
4119,Cryptocurrency Investment Scam,Invest ₹95639 in our crypto plan and get ₹61817 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4120,Fake Job Offer Scam,"Hi, this is Romil from HR at Varkey-Kumar. You've been shortlisted for a remote role. Pay ₹717 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
4121,WhatsApp Account Hacking Scam,"Hey, this is Renee. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
4122,Tax Refund Scam,Your tax refund of ₹45012 is ready. Click here to verify your info: http://balasubramanian.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
4123,WhatsApp Account Hacking Scam,"Hey, this is Drishya. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
4124,Fake Technical Support Scam,This is Yashvi from Bajwa Inc Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
4125,SIM Card Replacement Scam,"Hi, this is Jio support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
4126,Fake Technical Support Scam,"This is Ehsaan from Walla, Bhardwaj and Sood Support. Your device has malware. Please install TeamViewer and share the code.",Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
4127,Fake Discount/Refund Scam,You are eligible for a ₹9278 refund from Sagar-Srinivas. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
4128,Fake E-commerce Scam,Get AirPods Pro for just ₹85968. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
4129,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
4130,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹31176 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 8195821487.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
4131,Fake Job Offer Scam,"Hi, this is Aarush from HR at Bava, Tandon and Bhargava. You've been shortlisted for a remote role. Pay ₹654 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
4132,Fake Job Offer Scam,"Hi, this is Saksham from HR at Chawla, Brahmbhatt and Khosla. You've been shortlisted for a remote role. Pay ₹351 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
4133,Fake Charity/Donation Scam,We're raising funds for flood victims in Karnataka. Please donate what you can to UPI ID: jkalla@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
4134,Fake Discount/Refund Scam,You are eligible for a ₹68318 refund from Gade PLC. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
4135,Cryptocurrency Investment Scam,Invest ₹35069 in our crypto plan and get ₹76584 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4136,SIM Card Replacement Scam,"Hi, this is Jio support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
4137,Tax Refund Scam,Your tax refund of ₹58266 is ready. Click here to verify your info: http://mahal-hegde.info,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
4138,Tax Refund Scam,Your tax refund of ₹75924 is ready. Click here to verify your info: http://som.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
4139,UPI Scam,"Your ICICI account is blocked. To unblock, pay ₹78610 to UPI ID: adirakapur@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
4140,Fake E-commerce Scam,Get Laptop for just ₹92518. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
4141,Cryptocurrency Investment Scam,Invest ₹11688 in our crypto plan and get ₹98194 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4142,Fake Loan Approval Scam,You are pre-approved for a ₹92751 loan. Pay ₹816 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
4143,Tax Refund Scam,Your tax refund of ₹90420 is ready. Click here to verify your info: http://konda.net,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
4144,WhatsApp Account Hacking Scam,"Hey, this is Anahita. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
4145,WhatsApp Account Hacking Scam,"Hey, this is Biju. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
4146,WhatsApp Account Hacking Scam,"Hey, this is Madhav. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
4147,UPI Scam,"Your ICICI account is blocked. To unblock, pay ₹77126 to UPI ID: hsarna@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
4148,Fake Discount/Refund Scam,You are eligible for a ₹80321 refund from Lal-Bera. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
4149,Fake E-commerce Scam,Get iPhone 13 for just ₹81371. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
4150,Tax Refund Scam,Your tax refund of ₹36203 is ready. Click here to verify your info: http://bawa.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
4151,WhatsApp Account Hacking Scam,"Hey, this is Prerak. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
4152,Phishing Scam (Link Sharing),Your HDFC account is at risk. Click here to verify your info: http://dass.net,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
4153,Fake Technical Support Scam,This is Jayesh from Krish Ltd Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
4154,Cryptocurrency Investment Scam,Invest ₹65433 in our crypto plan and get ₹67685 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4155,Fake Loan Approval Scam,You are pre-approved for a ₹90438 loan. Pay ₹857 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
4156,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹30168 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 02521132624.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
4157,Fake Discount/Refund Scam,You are eligible for a ₹68921 refund from Mane-Bhargava. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
4158,Fake E-commerce Scam,Get AirPods Pro for just ₹53055. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
4159,Tax Refund Scam,Your tax refund of ₹6505 is ready. Click here to verify your info: http://gera.biz,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
4160,Tax Refund Scam,Your tax refund of ₹15060 is ready. Click here to verify your info: http://gala.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
4161,Fake E-commerce Scam,Get Smartwatch for just ₹94010. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
4162,Fake Loan Approval Scam,You are pre-approved for a ₹17475 loan. Pay ₹778 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
4163,SIM Card Replacement Scam,"Hi, this is Vi support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
4164,WhatsApp Account Hacking Scam,"Hey, this is Oorja. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
4165,Fake Job Offer Scam,"Hi, this is Madhav from HR at Bajwa LLC. You've been shortlisted for a remote role. Pay ₹547 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
4166,Fake Discount/Refund Scam,"You are eligible for a ₹99466 refund from Ratta, Chacko and Chhabra. Please share your bank details to process it.",Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
4167,Phishing Scam (Link Sharing),Your HDFC account is at risk. Click here to verify your info: http://luthra.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
4168,Fake E-commerce Scam,Get iPhone 13 for just ₹53243. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
4169,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹17631 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to +915830947245.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
4170,UPI Scam,"Your ICICI account is blocked. To unblock, pay ₹74096 to UPI ID: elaanand@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
4171,Fake Technical Support Scam,"This is Parinaaz from Sharma, Acharya and Gole Support. Your device has malware. Please install TeamViewer and share the code.",Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
4172,WhatsApp Account Hacking Scam,"Hey, this is Nirvi. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
4173,Fake Loan Approval Scam,You are pre-approved for a ₹52785 loan. Pay ₹445 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
4174,Fake Charity/Donation Scam,We're raising funds for flood victims in Gujarat. Please donate what you can to UPI ID: dishanichaudry@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
4175,Friend in Distress Scam,"Hey, it's Tara. I'm stuck in Anand and need ₹78274 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
4176,Fake Loan Approval Scam,You are pre-approved for a ₹69662 loan. Pay ₹923 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
4177,Tax Refund Scam,Your tax refund of ₹88778 is ready. Click here to verify your info: http://barman.net,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
4178,SIM Card Replacement Scam,"Hi, this is Jio support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
4179,Fake Job Offer Scam,"Hi, this is Dhanuk from HR at Dugar Ltd. You've been shortlisted for a remote role. Pay ₹449 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
4180,UPI Scam,"Your SBI account is blocked. To unblock, pay ₹23248 to UPI ID: ubatra@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
4181,Fake Loan Approval Scam,You are pre-approved for a ₹35687 loan. Pay ₹683 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
4182,Cryptocurrency Investment Scam,Invest ₹58119 in our crypto plan and get ₹81280 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4183,Phishing Scam (Link Sharing),Your ICICI account is at risk. Click here to verify your info: http://samra.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
4184,Phishing Scam (Link Sharing),Your ICICI account is at risk. Click here to verify your info: http://comar.net,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
4185,Phishing Scam (Link Sharing),Your Axis account is at risk. Click here to verify your info: http://sood-dara.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
4186,Tax Refund Scam,Your tax refund of ₹76853 is ready. Click here to verify your info: http://verma-varty.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
4187,Fake Technical Support Scam,"This is Vivaan from Chandran, Chand and Sharma Support. Your device has malware. Please install TeamViewer and share the code.",Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
4188,Fake E-commerce Scam,Get Smartwatch for just ₹67759. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
4189,Fake Job Offer Scam,"Hi, this is Hunar from HR at Rattan, Dora and Goda. You've been shortlisted for a remote role. Pay ₹971 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
4190,SIM Card Replacement Scam,"Hi, this is Vi support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
4191,Fake E-commerce Scam,Get Smartwatch for just ₹42378. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
4192,UPI Scam,"Your HDFC account is blocked. To unblock, pay ₹62990 to UPI ID: sanghvilakshay@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
4193,Cryptocurrency Investment Scam,Invest ₹81788 in our crypto plan and get ₹73281 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4194,Tax Refund Scam,Your tax refund of ₹89806 is ready. Click here to verify your info: http://taneja.biz,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
4195,UPI Scam,"Your SBI account is blocked. To unblock, pay ₹96774 to UPI ID: kiara10@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
4196,Fake Loan Approval Scam,You are pre-approved for a ₹83438 loan. Pay ₹523 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
4197,Cryptocurrency Investment Scam,Invest ₹25017 in our crypto plan and get ₹82097 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4198,Friend in Distress Scam,"Hey, it's Yashvi. I'm stuck in Bhatpara and need ₹10019 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
4199,Phishing Scam (Link Sharing),Your Axis account is at risk. Click here to verify your info: http://tak-bhargava.biz,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
4200,Fake E-commerce Scam,Get Smartwatch for just ₹53760. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
4201,Fake Technical Support Scam,This is Dharmajan from Bhatia Ltd Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
4202,Tax Refund Scam,Your tax refund of ₹13145 is ready. Click here to verify your info: http://dada.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
4203,WhatsApp Account Hacking Scam,"Hey, this is Jivika. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
4204,Fake Charity/Donation Scam,We're raising funds for flood victims in Karnataka. Please donate what you can to UPI ID: karpehrishita@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
4205,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹85221 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 06116707171.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
4206,Cryptocurrency Investment Scam,Invest ₹97408 in our crypto plan and get ₹57808 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4207,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹57669 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 09321637527.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
4208,Fake Job Offer Scam,"Hi, this is Ritvik from HR at Bali PLC. You've been shortlisted for a remote role. Pay ₹522 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
4209,Phishing Scam (Link Sharing),Your SBI account is at risk. Click here to verify your info: http://bawa.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
4210,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹90452 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 06587211745.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
4211,Fake Job Offer Scam,"Hi, this is Elakshi from HR at Khosla-Chaudhari. You've been shortlisted for a remote role. Pay ₹316 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
4212,Cryptocurrency Investment Scam,Invest ₹51266 in our crypto plan and get ₹45643 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4213,Fake Charity/Donation Scam,We're raising funds for flood victims in Chhattisgarh. Please donate what you can to UPI ID: yuvraj-mann@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
4214,Fake E-commerce Scam,Get AirPods Pro for just ₹72715. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
4215,Fake Loan Approval Scam,You are pre-approved for a ₹61126 loan. Pay ₹370 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
4216,Cryptocurrency Investment Scam,Invest ₹26551 in our crypto plan and get ₹44185 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4217,Fake Loan Approval Scam,You are pre-approved for a ₹99577 loan. Pay ₹840 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
4218,Fake E-commerce Scam,Get iPhone 13 for just ₹60885. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
4219,Cryptocurrency Investment Scam,Invest ₹82506 in our crypto plan and get ₹24146 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4220,UPI Scam,"Your Axis account is blocked. To unblock, pay ₹18731 to UPI ID: ikarnik@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
4221,Fake Discount/Refund Scam,You are eligible for a ₹41073 refund from Ganguly-Ram. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
4222,Tax Refund Scam,Your tax refund of ₹90948 is ready. Click here to verify your info: http://bala.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
4223,Fake Job Offer Scam,"Hi, this is Aaina from HR at Choudhury, Badal and Solanki. You've been shortlisted for a remote role. Pay ₹433 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
4224,Cryptocurrency Investment Scam,Invest ₹3525 in our crypto plan and get ₹79847 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
4225,Fake Discount/Refund Scam,You are eligible for a ₹68731 refund from Kata LLC. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
